matrix.greensteps.cn	1.44.0	matrix.greensteps.cn:8448		
matrix.kitzberger.at	1.44.0	matrix.kitzberger.at	Austria	🇦🇹
matrix.sealbaker.com	1.44.0	matrix.sealbaker.com:8448		
matrix.ds-guiraud.fr	1.44.0	matrix.ds-guiraud.fr	France	🇫🇷
matrix.lesbian.energy	1.44.0	matrix.lesbian.energy	United States of America	🇺🇸
matrix.ombreport.info	1.44.0	matrix.ombreport.info	France	🇫🇷
synapse.schefczyk.net	1.44.0	synapse.schefczyk.net	Germany	🇩🇪
matrix.web3.foundation	1.44.0	matrix.web3.foundation	Germany	🇩🇪
synapse.duncanturk.com	1.44.0	synapse.duncanturk.com	Germany	🇩🇪
matrix.arya.dogcraft.de	1.44.0	matrix.arya.dogcraft.de:8448		
matrix.planetdecred.org	1.44.0	matrix.planetdecred.org:8448		
matrix.planetdecred.org	1.44.0	matrix.planetdecred.org	United States of America	🇺🇸
matrix-rmonten.ddns.net	1.44.0	matrix-rmonten.ddns.net	United States of America	🇺🇸
matrix.arya.dogcraft.de	1.44.0	matrix.arya.dogcraft.de	Germany	🇩🇪
matrix.lorenzo12floxy.ga	1.44.0	matrix.lorenzo12floxy.ga	Netherlands	🇳🇱
