name	version	url	country	source
gaube.chat	1.141.0	gaube.chat	Unknown	Asra.gr
bitcar.tel	1.141.0	mtx.bitcar.tel	Unknown	Asra.gr
robbinsa.me	1.141.0	matrix.robbinsa.me	Unknown	Asra.gr
hofmann.onl	1.141.0	matrix.hofmann.onl	Unknown	Asra.gr
fasoley.net	1.141.0	fasoley.net	Unknown	Asra.gr
agora.fl.cr	1.141.0	agora.fl.cr	Unknown	Asra.gr
hadan.social	1.141.0	matrix.hadan.social	Unknown	Asra.gr
chat.vvrn.it	1.141.0	chat.vvrn.it	Unknown	Asra.gr
akkariin.moe	1.141.0	matrix.akkariin.moe	Unknown	Asra.gr
winrarfan.art	1.141.0	winrarfan.art	Unknown	Asra.gr
mx.675576.xyz	1.141.0	mx.675576.xyz	Unknown	Asra.gr
matrix.l4f.cc	1.141.0	matrix.l4f.cc	Unknown	Asra.gr
matrix.b0t.at	1.141.0	matrix.b0t.at	Unknown	Asra.gr
hot-chilli.im	1.141.0	hot-chilli.im	Germany	Join Matrix
hillion.co.uk	1.141.0	matrix.hillion.co.uk	Unknown	Asra.gr
riot.linxx.net	1.141.0	riot.linxx.net	Unknown	Asra.gr
matrixchat.dev	1.141.0	matrixchat.dev	Unknown	Asra.gr
matrix.xxru.cn	1.141.0	matrix.xxru.cn	Unknown	Asra.gr
matrix.aniq.eu	1.141.0	matrix.aniq.eu	Unknown	Asra.gr
fossi-chat.org	1.141.0	matrix.fossi-chat.org	Unknown	Asra.gr
chat.thorko.de	1.141.0	chat.thorko.de	Unknown	Asra.gr
sync-matrix.org	1.141.0	sync-matrix.org	Unknown	Asra.gr
matrix.netho.tk	1.141.0	matrix.netho.tk	Unknown	Asra.gr
comeinclasse.it	1.141.0	matrix.comeinclasse.it	Unknown	Asra.gr
piratenpartei.ch	1.141.0	matrix.piratenpartei.ch	Unknown	Asra.gr
no.dustinthe.net	1.141.0	no.dustinthe.net	Unknown	Asra.gr
matrix.totmin.ru	1.141.0	matrix.totmin.ru	Unknown	Asra.gr
matrix.sysops.de	1.141.0	matrix.sysops.de	Unknown	Asra.gr
matrix.nzcow.com	1.141.0	matrix.nzcow.com	Unknown	Asra.gr
matrix.matmoa.eu	1.141.0	matrix.matmoa.eu	Unknown	Asra.gr
matrix.gi-net.de	1.141.0	matrix.gi-net.de	Unknown	Asra.gr
matrix.bmops.org	1.141.0	matrix.bmops.org	Unknown	Asra.gr
mat.wastaken.xyz	1.141.0	mat.wastaken.xyz	Unknown	Asra.gr
mtx.lowend.social	1.141.0	mtx.lowend.social	Unknown	Asra.gr
matrix.texo-it.de	1.141.0	matrix.texo-it.de	Unknown	Asra.gr
matrix.szimnau.de	1.141.0	matrix.szimnau.de	Unknown	Asra.gr
matrix.pupper.dev	1.141.0rc1	matrix.pupper.dev	Unknown	Asra.gr
matrix.orxnet.org	1.141.0	matrix.orxnet.org	Unknown	Asra.gr
matrix.ecsena.com	1.141.0	matrix.ecsena.com	Unknown	Asra.gr
